Archetype,House number,CAH Type,Operation,Solar,Grid Cost,Optimal PV,Optimal Battery,Total Cost,Total Load,Grid Import
Detached,DetachedA_55.txt,H1,hybrid_bidirectional,best,232.578,4.9,15.525,17742.0,5641.35,2202.1
Detached,DetachedA_53.txt,H2,hybrid_bidirectional,worst,207.818,6.02,8.325,16638.0,4041.86,1953.32
Detached,DetachedD_26.txt,H1,hybrid_bidirectional,worst,292.644,7.63,26.1,28551.0,5727.43,2611.43
Detached,DetachedD_11.txt,H2,safe_unidirectional,worst,425.502,5.39,20.25,21039.0,4168.34,2010.83
Detached,DetachedD_25.txt,H2,safe_unidirectional,best,365.018,3.22,13.05,13026.0,3984.86,1823.37
Detached,DetachedA_36.txt,H1,hybrid_bidirectional,worst,312.154,7.98,26.55,29502.0,5828.17,2638.54
Detached,DetachedA_53.txt,H2,hybrid_bidirectional,best,191.233,3.5,1.575,8106.0,4081.27,1959.26
Detached,DetachedD_26.txt,H1,hybrid_bidirectional,best,236.605,4.76,17.325,18312.0,5708.77,2284.47
Detached,DetachedD_25.txt,H2,hybrid_bidirectional,worst,215.743,6.37,8.325,17373.0,4115.77,1993.25
Detached,DetachedD_30.txt,H1,safe_unidirectional,best,400.236,4.13,21.6,19041.0,5612.2,2353.25
Detached,DetachedD_28.txt,H1,safe_unidirectional,worst,435.402,7.84,27.45,29640.0,5505.55,2471.28
Detached,DetachedD_11.txt,H2,safe_unidirectional,best,393.713,3.15,12.6,12663.0,4168.34,1943.71
Detached,DetachedA_55.txt,H2,safe_unidirectional,worst,408.331,5.25,19.8,20529.0,4087.26,1944.08
Detached,DetachedA_36.txt,H1,hybrid_bidirectional,best,257.746,4.83,17.775,18675.0,5814.26,2347.55
Detached,DetachedD_25.txt,H2,hybrid_bidirectional,best,200.619,3.71,1.575,8547.0,4154.28,2013.5
Detached,DetachedD_30.txt,H1,hybrid_bidirectional,worst,288.544,7.49,26.775,28581.0,5697.8,2587.94
Detached,DetachedA_47.txt,H1,safe_unidirectional,worst,456.934,7.77,28.8,30141.0,5695.09,2554.69
Detached,DetachedD_11.txt,H2,hybrid_bidirectional,worst,231.251,5.81,9.225,16629.0,4305.1,2098.29
Detached,DetachedD_28.txt,H1,safe_unidirectional,best,388.156,4.06,21.825,19002.0,5505.55,2341.79
Detached,DetachedD_26.txt,H2,safe_unidirectional,worst,424.061,5.46,20.25,21186.0,4135.83,1971.41
