Archetype,CAH Type,Operation,Solar,CAPEX,OPEX Savings
Detached,H2,hybrid_bidirectional,best,8655.0,1425.0188
Detached,H1,hybrid_bidirectional,best,17919.0,2175.2678
Detached,H2,hybrid_bidirectional,worst,16344.0,1420.9648
Detached,H1,hybrid_bidirectional,worst,28953.0,2105.5048
Detached,H1,safe_unidirectional,worst,29925.0,1949.6968000000002
Detached,H2,safe_unidirectional,worst,21363.0,1206.4288
Detached,H1,safe_unidirectional,best,20061.0,1977.4818000000002
Detached,H2,safe_unidirectional,best,12408.0,1272.6588
Detached,H2,hybrid_bidirectional,best,8292.0,1434.2658
Detached,H1,safe_unidirectional,worst,30111.0,1952.8338000000003
Detached,H1,hybrid_bidirectional,best,18390.0,2166.6598000000004
Detached,H2,hybrid_bidirectional,worst,17040.0,1428.2628
Detached,H2,safe_unidirectional,worst,21000.0,1219.1048
Detached,H1,safe_unidirectional,best,19041.0,2008.6428000000003
Detached,H1,hybrid_bidirectional,worst,30198.0,2079.9388000000004
Detached,H2,safe_unidirectional,best,12849.0,1248.7667999999999
Detached,H1,safe_unidirectional,best,19296.0,2006.5328000000004
Detached,H2,hybrid_bidirectional,best,8253.0,1442.9848
Detached,H1,safe_unidirectional,worst,30759.0,1949.4118000000003
Detached,H1,hybrid_bidirectional,best,19116.0,2149.1948
Detached,H2,hybrid_bidirectional,worst,16776.0,1417.9668
Detached,H2,safe_unidirectional,worst,21333.0,1215.8328
Detached,H1,hybrid_bidirectional,worst,28914.0,2105.6228
Detached,H2,safe_unidirectional,best,12279.0,1276.2168
Detached,H1,hybrid_bidirectional,worst,29502.0,2108.3448000000003
Detached,H2,hybrid_bidirectional,best,8508.0,1436.5048
Detached,H1,hybrid_bidirectional,best,18057.0,2167.9058000000005
Detached,H1,safe_unidirectional,best,19335.0,1998.1348000000003
Detached,H2,hybrid_bidirectional,worst,16707.0,1429.6578
Detached,H1,safe_unidirectional,worst,28896.0,1966.5918000000001
Detached,H2,safe_unidirectional,best,12888.0,1263.9228
Detached,H2,safe_unidirectional,worst,22824.0,1189.0898
Detached,H1,hybrid_bidirectional,best,18282.0,2171.8588000000004
Detached,H2,hybrid_bidirectional,best,8253.0,1446.7667999999999
Detached,H1,hybrid_bidirectional,worst,29925.0,2100.1388
Detached,H2,hybrid_bidirectional,worst,16893.0,1412.6548
Detached,H1,safe_unidirectional,worst,29925.0,1958.4938000000002
Detached,H1,safe_unidirectional,best,18756.0,2021.5548000000003
Detached,H2,safe_unidirectional,worst,21471.0,1214.8378
Detached,H2,safe_unidirectional,best,13800.0,1231.5038
Detached,H1,hybrid_bidirectional,best,18399.0,2169.6898
Detached,H2,hybrid_bidirectional,best,8655.0,1427.1028
Detached,H2,safe_unidirectional,worst,21627.0,1219.1958
Detached,H1,safe_unidirectional,worst,30444.0,1955.2808000000002
Detached,H1,hybrid_bidirectional,worst,27777.0,2111.6628
Detached,H1,safe_unidirectional,best,19188.0,2014.3008000000002
Detached,H2,hybrid_bidirectional,worst,18090.0,1391.8618
Detached,H2,safe_unidirectional,best,12339.0,1253.6448
Detached,H1,hybrid_bidirectional,best,17742.0,2182.8128
Detached,H2,safe_unidirectional,best,12711.0,1272.0598
Detached,H1,safe_unidirectional,worst,29934.0,1969.7428000000002
Detached,H2,hybrid_bidirectional,best,9057.0,1408.7268
Detached,H2,safe_unidirectional,worst,21912.0,1208.9188
Detached,H1,safe_unidirectional,best,19257.0,2007.0138000000002
Detached,H1,hybrid_bidirectional,worst,29061.0,2116.1548000000003
Detached,H2,hybrid_bidirectional,worst,16932.0,1418.9388
Detached,H2,hybrid_bidirectional,worst,17304.0,1425.7738
Detached,H1,hybrid_bidirectional,best,18204.0,2176.4148000000005
Detached,H2,hybrid_bidirectional,best,8292.0,1437.0368
Detached,H1,hybrid_bidirectional,worst,29364.0,2112.4458000000004
Detached,H1,safe_unidirectional,best,19188.0,2019.0808000000002
Detached,H2,safe_unidirectional,worst,20274.0,1234.9428
Detached,H2,safe_unidirectional,best,12810.0,1252.0688
Detached,H1,safe_unidirectional,worst,29160.0,1971.0158000000004
Detached,H2,hybrid_bidirectional,best,8508.0,1436.9968
Detached,H1,hybrid_bidirectional,best,18360.0,2171.5228
Detached,H2,hybrid_bidirectional,worst,17619.0,1413.1378
Detached,H1,hybrid_bidirectional,worst,28815.0,2114.5378
Detached,H1,safe_unidirectional,worst,30621.0,1943.2238000000002
Detached,H2,safe_unidirectional,worst,21696.0,1227.6878
Detached,H1,safe_unidirectional,best,18825.0,2023.1358000000002
Detached,H2,safe_unidirectional,best,12093.0,1282.9678
Detached,H1,safe_unidirectional,worst,30327.0,1954.4138000000003
Detached,H2,hybrid_bidirectional,best,8547.0,1432.3668
Detached,H1,hybrid_bidirectional,best,17997.0,2173.4808000000003
Detached,H2,hybrid_bidirectional,worst,15648.0,1424.6568
Detached,H2,safe_unidirectional,worst,21666.0,1218.2458
Detached,H1,hybrid_bidirectional,worst,28287.0,2115.3928000000005
Detached,H1,safe_unidirectional,best,19629.0,2000.7488000000003
Detached,H2,safe_unidirectional,best,12633.0,1272.1218
Detached,H1,safe_unidirectional,best,19257.0,2003.3908000000004
Detached,H2,hybrid_bidirectional,best,8067.0,1442.3788
Detached,H1,safe_unidirectional,worst,30327.0,1944.8688000000002
Detached,H1,hybrid_bidirectional,best,18027.0,2180.0058000000004
Detached,H2,safe_unidirectional,worst,21441.0,1231.4158
Detached,H2,hybrid_bidirectional,worst,16854.0,1423.6648
Detached,H1,hybrid_bidirectional,worst,29325.0,2099.2838
Detached,H2,safe_unidirectional,best,12594.0,1262.7808
Detached,H1,hybrid_bidirectional,worst,29502.0,2113.5008000000003
Detached,H2,hybrid_bidirectional,best,8469.0,1451.5108
Detached,H1,hybrid_bidirectional,best,18615.0,2170.9608000000003
Detached,H1,safe_unidirectional,best,19521.0,2015.0528000000004
Detached,H2,hybrid_bidirectional,worst,17433.0,1422.9248
Detached,H1,safe_unidirectional,worst,29994.0,1962.8038000000004
Detached,H2,safe_unidirectional,best,12564.0,1277.2798
Detached,H2,safe_unidirectional,worst,20637.0,1238.0088
Detached,H1,hybrid_bidirectional,best,18312.0,2175.5948000000003
Detached,H2,hybrid_bidirectional,best,8400.0,1440.7758
Detached,H1,hybrid_bidirectional,worst,29022.0,2100.7368
Detached,H2,hybrid_bidirectional,worst,17157.0,1428.8878
Detached,H1,safe_unidirectional,worst,29298.0,1987.3738000000003
Detached,H1,safe_unidirectional,best,19404.0,2009.4778000000003
Detached,H2,safe_unidirectional,worst,22059.0,1209.9808
Detached,H2,safe_unidirectional,best,12369.0,1269.8088
Detached,H2,safe_unidirectional,worst,21912.0,1219.8748
Detached,H1,hybrid_bidirectional,best,18498.0,2164.4528000000005
Detached,H2,hybrid_bidirectional,best,8253.0,1440.2258
Detached,H1,safe_unidirectional,worst,30033.0,1964.9028000000003
Detached,H1,hybrid_bidirectional,worst,28698.0,2117.9168000000004
Detached,H1,safe_unidirectional,best,18963.0,2030.0728000000004
Detached,H2,hybrid_bidirectional,worst,16344.0,1425.8268
Detached,H2,safe_unidirectional,best,13143.0,1251.2918
Detached,H1,hybrid_bidirectional,best,18351.0,2170.6618000000003
Detached,H2,safe_unidirectional,best,12780.0,1258.7208
Detached,H2,hybrid_bidirectional,best,8214.0,1444.2968
Detached,H1,safe_unidirectional,worst,29337.0,1960.4738000000002
Detached,H1,safe_unidirectional,best,19002.0,2006.0968000000003
Detached,H2,safe_unidirectional,worst,21687.0,1204.3188
Detached,H1,hybrid_bidirectional,worst,28452.0,2127.6548000000003
Detached,H2,hybrid_bidirectional,worst,17520.0,1419.3438
Detached,H2,hybrid_bidirectional,worst,17727.0,1427.3208
Detached,H1,hybrid_bidirectional,best,18195.0,2182.1638000000003
Detached,H1,hybrid_bidirectional,worst,28992.0,2123.2248000000004
Detached,H2,hybrid_bidirectional,best,8733.0,1434.5167999999999
Detached,H1,safe_unidirectional,best,19296.0,2001.8338000000003
Detached,H2,safe_unidirectional,worst,21363.0,1226.7858
Detached,H1,safe_unidirectional,worst,28758.0,1981.3428000000004
Detached,H2,safe_unidirectional,best,12987.0,1247.1628
Detached,H2,hybrid_bidirectional,best,8469.0,1439.5348
Detached,H1,hybrid_bidirectional,best,17997.0,2177.3578
Detached,H2,hybrid_bidirectional,worst,17070.0,1411.7788
Detached,H1,hybrid_bidirectional,worst,28335.0,2114.4288
Detached,H2,safe_unidirectional,worst,20814.0,1253.4168
Detached,H1,safe_unidirectional,best,18864.0,2031.4888000000003
Detached,H1,safe_unidirectional,worst,29670.0,1986.4688000000003
Detached,H2,safe_unidirectional,best,12741.0,1262.0868
Detached,H1,safe_unidirectional,worst,29298.0,1968.0178000000003
Detached,H2,hybrid_bidirectional,best,8655.0,1433.0938
Detached,H1,hybrid_bidirectional,best,18321.0,2167.5948000000003
Detached,H2,hybrid_bidirectional,worst,17040.0,1432.8448
Detached,H2,safe_unidirectional,worst,21324.0,1221.4048
Detached,H1,hybrid_bidirectional,worst,27855.0,2127.1438000000003
Detached,H1,safe_unidirectional,best,18747.0,2033.7798000000003
Detached,H2,safe_unidirectional,best,12555.0,1286.1598
Detached,H1,safe_unidirectional,best,18825.0,2026.3128000000002
Detached,H2,hybrid_bidirectional,best,8508.0,1446.3638
Detached,H1,hybrid_bidirectional,best,17802.0,2184.9298000000003
Detached,H1,safe_unidirectional,worst,31827.0,1931.4978000000003
Detached,H2,safe_unidirectional,worst,20784.0,1215.2538
Detached,H2,hybrid_bidirectional,worst,16491.0,1439.0418
Detached,H1,hybrid_bidirectional,worst,28767.0,2125.5068
Detached,H2,safe_unidirectional,best,12594.0,1261.5288
Detached,H1,hybrid_bidirectional,worst,28257.0,2110.7448000000004
Detached,H2,hybrid_bidirectional,best,8214.0,1451.6568
Detached,H2,hybrid_bidirectional,worst,17031.0,1428.7818
Detached,H1,hybrid_bidirectional,best,18018.0,2185.0498000000002
Detached,H1,safe_unidirectional,best,20061.0,1986.5438000000004
Detached,H1,safe_unidirectional,worst,28749.0,1970.9128000000003
Detached,H2,safe_unidirectional,worst,19911.0,1244.3938
Detached,H2,safe_unidirectional,best,12741.0,1257.4778000000001
Detached,H1,hybrid_bidirectional,best,17763.0,2173.3668000000002
Detached,H2,hybrid_bidirectional,best,8253.0,1442.7058
Detached,H1,hybrid_bidirectional,worst,30708.0,2092.1178000000004
Detached,H2,hybrid_bidirectional,worst,16197.0,1429.1308
Detached,H1,safe_unidirectional,best,18531.0,2019.7568000000003
Detached,H1,safe_unidirectional,worst,29484.0,1958.8338000000003
Detached,H2,safe_unidirectional,worst,20961.0,1254.3528000000001
Detached,H2,safe_unidirectional,best,11907.0,1283.4368
Detached,H2,safe_unidirectional,worst,20529.0,1234.3948
Detached,H1,hybrid_bidirectional,best,19194.0,2154.0438000000004
Detached,H2,hybrid_bidirectional,best,8400.0,1438.8668
